                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.71456,                0.54346,                 0.9855,                0.84431,                0.77392,                0.82738,                0.65887,                0.82629,                0.75473,                 1.0473,             0.00055203,             0.00055203,             0.00055203
                     59,                0.70934,                0.53564,                0.98177,                0.81939,                0.78969,                 0.8292,                0.67312,                0.81079,                0.77942,                 1.0435,             0.00054822,             0.00054822,             0.00054822
                     60,                0.69664,                0.52919,                 0.9785,                0.84627,                0.74195,                0.81473,                0.65758,                0.81372,                0.74293,                  1.036,             0.00054441,             0.00054441,             0.00054441
                     61,                0.70386,                0.53136,                0.98202,                0.80536,                0.75558,                0.80492,                0.65532,                0.80493,                0.85039,                 1.0342,             0.00054061,             0.00054061,             0.00054061
                     62,                0.71122,                0.54599,                0.98856,                0.81322,                0.77141,                0.82306,                0.65426,                0.81225,                 0.7161,                 1.0306,              0.0005368,              0.0005368,              0.0005368
                     63,                 0.6844,                0.52182,                  0.974,                0.80691,                 0.7501,                0.81906,                0.66858,                0.78861,                0.71924,                 1.0252,             0.00053299,             0.00053299,             0.00053299
                     64,                0.68184,                0.51444,                 0.9679,                0.78602,                0.80434,                 0.8254,                0.66728,                0.80792,                 0.7487,                 1.0269,             0.00052919,             0.00052919,             0.00052919
                     65,                0.69262,                0.52252,                0.97786,                0.79729,                 0.7948,                0.82243,                0.66965,                0.80898,                0.72982,                 1.0369,             0.00052538,             0.00052538,             0.00052538
                     66,                0.69356,                0.52133,                0.97244,                0.80969,                0.78581,                0.82509,                0.67864,                0.78632,                0.73573,                 1.0201,             0.00052157,             0.00052157,             0.00052157
                     67,                0.67643,                0.51409,                 0.9707,                0.84032,                0.77088,                0.82149,                0.67468,                0.79098,                0.72547,                 1.0234,             0.00051777,             0.00051777,             0.00051777
                     68,                0.66624,                0.49921,                 0.9627,                0.85081,                0.78317,                0.82347,                0.67167,                0.79399,                0.74246,                 1.0214,             0.00051396,             0.00051396,             0.00051396
                     69,                0.66736,                0.49941,                0.96159,                0.83542,                0.77575,                0.82486,                0.66885,                0.78639,                0.71817,                 1.0305,             0.00051015,             0.00051015,             0.00051015
                     70,                0.67554,                0.51528,                0.97164,                0.89053,                0.75448,                0.83223,                0.67421,                0.78137,                0.70186,                 1.0225,             0.00050635,             0.00050635,             0.00050635
                     71,                0.66219,                0.48384,                0.96276,                0.81516,                0.78441,                 0.8095,                0.65885,                0.78744,                0.71689,                 1.0274,             0.00050254,             0.00050254,             0.00050254
                     72,                0.66416,                0.49471,                0.96409,                0.80512,                0.79584,                0.81098,                0.65948,                0.78714,                0.78872,                 1.0197,             0.00049873,             0.00049873,             0.00049873
