                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.73054,                0.56273,                  1.097,                0.93131,                0.85059,                 0.9292,                0.72227,                0.85898,                0.61315,                 1.2099,              0.0013862,              0.0013862,              0.0013862
                     64,                0.72165,                0.55793,                 1.0925,                 0.9472,                0.88213,                0.94783,                0.71165,                0.90888,                0.57301,                 1.2657,              0.0013763,              0.0013763,              0.0013763
                     65,                0.73711,                 0.5806,                 1.1001,                0.94011,                0.87072,                0.93213,                0.70099,                0.91189,                0.55747,                 1.2706,              0.0013664,              0.0013664,              0.0013664
                     66,                0.70318,                0.55301,                 1.0751,                0.94377,                0.86882,                0.94055,                0.71092,                0.89252,                0.55258,                 1.2543,              0.0013565,              0.0013565,              0.0013565
                     67,                0.72638,                0.56325,                 1.0877,                0.95123,                0.86502,                0.94661,                0.72714,                0.87312,                0.55371,                 1.2293,              0.0013466,              0.0013466,              0.0013466
                     68,                0.67195,                0.52923,                 1.0572,                 0.9454,                0.88875,                0.94902,                0.71474,                0.85397,                0.55596,                 1.2053,              0.0013367,              0.0013367,              0.0013367
                     69,                 0.7078,                0.54204,                  1.078,                0.93475,                0.84422,                0.92566,                0.70579,                0.88798,                0.60627,                 1.2276,              0.0013268,              0.0013268,              0.0013268
                     70,                0.68693,                0.54254,                  1.063,                0.92727,                0.84841,                0.93474,                0.72307,                0.85748,                0.60798,                 1.2242,              0.0013169,              0.0013169,              0.0013169
                     71,                0.70417,                 0.5409,                 1.0817,                0.94422,                0.86885,                 0.9451,                0.73006,                0.86254,                0.54888,                 1.2323,               0.001307,               0.001307,               0.001307
                     72,                0.69423,                 0.5435,                 1.0724,                0.95796,                0.85361,                0.94362,                0.72006,                0.87522,                0.55839,                 1.2165,              0.0012971,              0.0012971,              0.0012971
                     73,                0.69989,                0.52631,                 1.0652,                0.93149,                0.87643,                0.93451,                0.70363,                0.90441,                0.55657,                 1.2424,              0.0012872,              0.0012872,              0.0012872
                     74,                0.69897,                0.52282,                 1.0663,                0.93132,                0.87072,                0.94147,                 0.7282,                0.84002,                0.53478,                 1.2083,              0.0012773,              0.0012773,              0.0012773
                     75,                0.66599,                0.52007,                 1.0596,                0.95252,                0.87721,                0.93917,                0.72442,                  0.834,                0.53317,                 1.2079,              0.0012674,              0.0012674,              0.0012674
                     76,                0.65774,                0.50914,                 1.0514,                0.95869,                0.88232,                0.94514,                0.73856,                 0.8439,                0.51216,                  1.237,              0.0012575,              0.0012575,              0.0012575
                     77,                0.67006,                0.51135,                 1.0593,                0.96084,                0.90114,                0.95371,                0.74477,                0.80878,                0.49409,                 1.1925,              0.0012476,              0.0012476,              0.0012476
                     78,                0.67261,                0.51478,                 1.0724,                0.92507,                0.89187,                0.94235,                0.74074,                0.82778,                0.52675,                  1.209,              0.0012377,              0.0012377,              0.0012377
                     79,                0.65417,                0.51167,                  1.059,                0.92751,                0.90304,                0.94965,                0.73915,                0.83028,                0.53378,                 1.1847,              0.0012278,              0.0012278,              0.0012278
                     80,                0.67551,                0.51348,                   1.06,                0.93516,                0.88023,                0.94014,                0.73514,                0.81678,                0.52723,                 1.2116,              0.0012179,              0.0012179,              0.0012179
                     81,                 0.6426,                0.50536,                 1.0466,                0.94562,                0.89163,                0.94283,                0.74166,                 0.8244,                0.50804,                  1.196,               0.001208,               0.001208,               0.001208
                     82,                0.65233,                0.51197,                 1.0423,                0.91196,                0.89544,                0.94059,                 0.7404,                0.82304,                 0.5227,                 1.2038,              0.0011981,              0.0011981,              0.0011981
                     83,                0.63907,                0.50281,                 1.0417,                0.94033,                0.89884,                0.95042,                0.74156,                0.80152,                0.50016,                  1.201,              0.0011882,              0.0011882,              0.0011882
